['212', 'CS110', '8292', 'E229', '013']
['212', 'M104', '3492', 'I291', '015']
['212', 'M007', '1564', 'U239', '016']
['212', 'M011', '8394', 'Y942', '020']
['212', 'M101', '5499', 'C847', '026']
['212', 'CS005', '2798', 'H960', '011']
['212', 'M007', '2938', 'F937', '003']
['213', 'CS004', '7476', 'H899', '013']
['213', 'M101', '2938', 'F937', '003']
['213', 'CS110', '5499', 'B821', '001']
['213', 'CS001', '8292', 'E229', '013']
['213', 'M105', '8231', 'G253', '003']
['213', 'CS110', '7800', 'E058', '025']
['213', 'CS007', '2295', 'I021', '012']
['213', 'M012', 'D459', '7368', '023']
['213', 'M102', '3492', 'I291', '015']
['213', 'CS004', ['3040', '5757', '6348'], 'B930', '011']
['213', 'M106', '3964', 'E880', '012']
['214', 'M104', '8446', 'L171', '001']
['214', 'M101', 'K852', '2353', '030']
['214', 'M010', '8292', 'E229', '013']
['214', 'CS006', '8231', 'G253', '003']
['214', 'M008', '8998', 'G376', '012']
['214', 'M007', 'D433', '7455', '029']
['214', 'CS105', '3492', 'I291', '015']
['214', 'M009', '0782', 'M169', '012']
['215', 'M011', '9318', 'L936', '015']
['215', 'CS010', '2353', 'C346', '013']
['215', 'M010', '8446', 'F047', '010']
['215', 'CS002', ['5757', '6245', '3689'], 'K262', '009']
['215', 'M106', '3040', 'K639', '012']
['215', 'CS002', ['5757', '6245', '3689'], 'K262', '009']
['215', 'CS004', '3040', 'K639', '012']
['215', 'CS007', '2663', 'F059', '010']
['215', 'CS005', 'N482', '2938', '022']
['215', 'M104', '2747', 'J252', '025']
['215', 'M010', '5095', 'Z652', '024']
['215', 'CS003', '9349', '???', '011']
['215', 'M010', '8231', 'G253', '003']
['215', 'M006', '3040', 'K639', '012']
['215', 'CS001', '9318', 'L936', '015']
['215', 'M104', '0782', 'M169', '012']
['215', 'CS007', '4878', 'H263', '026']
['215', 'M104', '7368', 'D459', '023']
['215', 'CS003', '8394', 'Y942', '020']
['215', 'CS110', '3654', 'S458', '001']
['215', 'CS102', '8394', 'Y942', '020']
['215', 'CS110', '3654', 'S458', '001']
['215', 'CS102', '7577', 'D651', '021']
['215', 'M001', '8446', 'L171', '001']
['215', 'M106', '8998', 'D602', '011']
['215', 'M006', 'D651', '7577', '021']
['216', 'M011', 'U239', '1564', '016']
['216', 'CS002', '3874', 'B388', '001']
['216', 'CS001', '7126', 'D518', '012']
['216', 'M106', '2938', 'F937', '003']
['216', 'M105', 'D518', '7126', '012']
['216', 'M011', '2938', 'D106', '015']
['216', 'M106', '8998', 'D602', '011']
['216', 'CS105', 'L171', '8446', '001']
['216', 'M106', '2233', 'D041', '024']
['216', 'CS005', ['3492', '8665', '6949'], 'L769', '029']
['217', 'CS105', '3492', 'I291', '015']
['217', 'CS102', '3843', 'J942', '021']
['217', 'M106', '1564', 'U239', '016']
['217', 'M101', 'J885', '2339', '004']
['217', 'CS005', '2663', 'F059', '010']
['217', 'CS007', '7126', 'D518', '012']
['217', 'CS005', 'C912', '5932', '015']
['309', 'M011', '5499', 'B821', '001']
['309', 'M102', '7126', 'D518', '012']
['309', 'M001', '8998', 'D602', '011']
['309', 'M012', '3964', 'F911', '012']
['309', 'CS004', '8998', 'D602', '011']
['309', 'M012', '3964', 'F911', '012']
['309', 'CS004', '8998', 'D602', '011']
['309', 'M012', '3964', 'F911', '012']
['309', 'CS004', '9318', 'L936', '015']
['309', 'CS110', 'D041', '2233', '024']
['309', 'CS101', '3964', 'E880', '012']
['310', 'CS003', '7368', 'D790', '015']
['310', 'CS110', '2377', 'R563', '002']
['310', 'M103', '8446', 'L171', '001']
['310', 'CS010', '7368', 'D459', '023']
['310', 'CS007', '8998', 'Q429', '005']
['310', 'CS008', '2295', 'I021', '012']
['310', 'CS007', '8998', 'Q429', '005']
['310', 'CS008', '2295', 'I021', '012']
['310', 'M001', 'B821', '5499', '001']
['310', 'M104', '9936', 'X195', '006']
['310', 'CS007', '8998', 'Q429', '005']
['311', 'CS105', '2163', 'D945', '008']
